#Column 3CR	(A)		3CR source designation (1)	[meta.id;meta.main]
#Column RA1950	(A10)		Right ascension (1950.0)	[pos.eq.ra;meta.main]
#Column DE1950	(A8)		Declination (1950.0)	[pos.eq.dec;meta.main]
#Column S178MHz	(F7.1)		Flux density at 178MHz	[phot.flux.density;em.radio.100-200MHz]
3CR,RA1950,DE1950,S178MHz
,"h:m:s","d:m:s",Jy
363.1,17 50 30.0,+05 36.0,90.0
368,18 02 42.0,+10 57.0,14.0
371,18 07 04.0,+69 55.0,9.5
372.1,18 12 42.0,-03 36.0,41.0
379.1,18 26 24.0,+74 24.0,9.5
380,18 28 14.6,+48 41.2,57.0
381,18 32 28.0,+47 24.0,12.5
382,18 33 12.0,+32 39.2,20.0
386,18 36 11.9,+17 07.2,24.0
388,18 42 37.0,+45 32.0,22.0
390,18 43 12.0,+09 49.0,19.0
389,18 43 41.0,-03 23.0,21.0
390.1,18 44 00.0,+06 36.0,51.0
390.2,18 45 12.0,-03 12.0,110.0
390.3,18 46 12.0,+80 00.0,44.0
391,18 46 47.0,-00 59.0,24.0
392,18 53 34.0,+01 14.0,400.0
394,18 57 02.0,+12 56.0,12.0
396,19 01 35.7,+05 23.5,22.0
396.1,19 04 30.0,-03 12.0,30.0
397,19 05 07.3,+07 04.7,28.0
398,19 08 44.0,+09 00.7,55.0
399.1,19 13 59.4,+30 12.4,12.5
399.2,19 15 42.0,+10 36.0,19.0
400,19 21 30.0,+14 24.0,540.0
400.1,19 22 48.0,+35 54.0,16.5
400.2,19 36 30.0,+17 24.0,22.0
401,19 39 37.0,+60 35.0,19.0
402,19 40 26.7,+50 29.5,13.0
403,19 49 43.6,+02 29.4,26.0
403.1,19 49 54.0,-02 00.0,12.5
403.2,19 52 00.0,+31 54.0,50.0
405,19 57 45.3,+40 36.0,8100.0
409,20 12 18.5,+23 25.3,73.0
409.1,20 18 00.0,+45 12.0,230.0
410,20 18 02.7,+29 32.4,32.0
410.1,20 19 36.0,+40 06.0,410.0
411,20 19 47.0,+09 59.0,14.0
415.1,20 31 06.0,+43 18.0,24.0
415.2,20 31 20.8,+53 34.6,10.0
416.1,20 33 24.0,+46 52.0,60.0
416.2,20 34 00.0,+41 33.0,160.0
418,20 37 07.1,+51 07.1,12.5
419.1,20 39 06.0,+42 06.0,74.0
